,cnpj,name,phone,address
0,00.098.251/0001-50,Pacheco S/A,(071) 9589-0875,"Estação Guilherme Ramos, 85
Vila Boa Vista
17331126 Souza / AL"
1,00.180.368/0001-89,Almeida,(081) 8748 3337,"Morro Davi Lucas Garcia, 774
Diamante
59655699 Sousa / ES"
2,00.230.677/0001-16,Sales,+55 (011) 7043 3617,"Jardim Stephany das Neves, 596
Providencia
26108-425 Vieira da Praia / PB"
3,00.262.987/0001-12,Gonçalves,31 0336-2955,"Esplanada Murilo Martins, 63
Taquaril
06410-695 Moreira / TO"
4,00.523.781/0001-07,Souza Farias S.A.,21 0291-3723,"Largo de Sá, 31
Conjunto Lagoa
04949699 da Conceição / DF"
5,00.659.183/0001-51,Costela,51 4794 1490,"Área de Barbosa
Santo Antônio
35444-106 Freitas / CE"
6,00.713.373/0001-00,Casa Grande Albuquerque - EI,+55 84 6127-9790,"Avenida João Guilherme Brito, 424
Jardim São José
69490-101 da Mota do Galho / MG"
7,00.838.320/0001-15,Aparecida Carvalho - ME,+55 (071) 8988 6526,"Loteamento Kevin Sousa, 573
Monte Azul
09600543 Gonçalves / AC"
8,00.853.274/0001-23,Câmara,81 6264 6561,"Parque de Borges, 878
Vila Aeroporto Jaraguá
78276-846 Teixeira / AM"
9,00.869.689/0001-95,Farias,0300 673 3626,"Viela Laura Marques, 29
Caetano Furquim
99738937 Melo / RR"
10,00.881.469/0001-87,Rocha,71 9245-4102,"Vila de Costela
Madre Gertrudes
06811-559 Nogueira / SC"
11,00.904.351/0001-27,Cirino,(031) 2359-6312,"Parque de Sá, 71
Mangueiras
48748-077 Fernandes / ES"
12,00.983.091/0001-22,Câmara Rios - EI,0500-371-5489,"Distrito das Neves, 990
Santa Sofia
65746-712 Rios / SC"
13,01.032.553/0001-99,Siqueira,(011) 9843-5706,"Rodovia Azevedo, 10
Vila Da Luz
73001-397 Pinto / MS"
14,01.048.503/0001-08,da Costa S/A,+55 21 9751-1603,"Viela de Fogaça, 11
Heliopolis
30427-038 Cassiano de Novais / PB"
15,01.113.432/0001-71,Ferreira,0500 080 0514,"Recanto de Silva, 87
Vila Paraíso
85825-881 Farias / SC"
16,01.342.305/0001-44,Cassiano,+55 61 2605-7421,"Avenida Carlos Eduardo Mendes, 12
Vila Madre Gertrudes 4ª Seção
80567191 Moura do Galho / RO"
17,01.355.268/0001-09,Duarte,0500-457-5866,"Vereda de Silva
Nova Cintra
30396307 Barros / AM"
18,01.399.943/0001-00,Peixoto,(081) 8344-9209,"Lagoa Fonseca, 1
Vila São Dimas
67623-410 Moreira / PI"
19,01.408.738/0001-55,Abreu,31 6937-6013,"Praia Renan Montenegro, 67
Nova Pampulha
13850-592 Santos Alegre / PA"
20,01.486.518/0001-40,Sales,+55 (011) 5680 8285,"Praça Melo, 5
Novo Ouro Preto
15170-804 Alves Paulista / PA"
21,01.595.250/0001-84,Costela - ME,41 0311-3462,"Vila de das Neves, 80
Ernesto Nascimento
36118-087 Leão / DF"
22,01.653.462/0001-70,Costela,+55 81 7973-1845,"Chácara da Paz, 1
Vila Batik
44796462 Costela / PI"
23,01.885.288/0001-91,Câmara,+55 (051) 1122 8325,"Rua Fonseca, 43
Leticia
93207486 Cardoso do Campo / PE"
24,02.062.565/0001-29,Vargas,+55 (084) 1576 1807,"Área Emanuel Correia, 96
Dom Joaquim
44717-999 da Mota / AP"
25,02.136.075/0001-20,Sousa das Neves Ltda.,31 8811 4685,"Lago de da Rocha, 67
Universitário
19793-973 da Luz do Sul / PA"
26,02.294.072/0001-14,Moraes - ME,+55 51 9748 7977,"Estrada Câmara, 5
Urca
66561030 da Rosa do Norte / RO"
27,02.327.194/0001-60,Lopes,+55 51 6570 3844,"Passarela de Gonçalves, 4
Maria Tereza
43823552 Novaes / RR"
28,02.385.838/0001-76,Oliveira Gonçalves S/A,(061) 2016 6177,"Campo Pires, 2
Mariquinhas
96269892 Ribeiro de Monteiro / CE"
29,02.496.563/0001-48,Barbosa,+55 (031) 6105 6832,"Estação Oliveira, 26
João Alfredo
78817608 Silva / MS"
30,02.506.748/0001-96,Sales Azevedo - ME,(051) 6552-1431,"Recanto Alana Abreu, 92
Candelaria
83990965 Novaes / TO"
31,02.572.699/0001-90,Santos,+55 31 1746 4253,"Colônia Correia, 385
Paraíso
85969936 Albuquerque / DF"
32,02.986.276/0001-16,Santos,81 2580-1314,"Recanto Raquel Abreu, 10
Barreiro
11340626 Carvalho / AP"
33,02.991.006/0001-01,Gonçalves Abreu S/A,51 1611 2097,"Sítio Cassiano, 9
Santa Isabel
97681628 Novaes do Amparo / PB"
34,03.163.062/0001-02,Cardoso Sousa S.A.,(084) 5815 8060,"Lago de Siqueira, 51
Bonsucesso
34347-036 Pinto Verde / BA"
35,03.488.133/0001-47,Pastor Carvalho S.A.,(061) 6520 5053,"Rodovia Correia, 454
Santa Maria
57319920 Aparecida Paulista / GO"
36,03.660.571/0001-40,Lopes,(031) 3063 5777,"Favela Lima, 7
Cônego Pinheiro 2ª Seção
16051-005 Cardoso / SP"
37,03.786.390/0001-65,Oliveira,11 5080-1031,"Sítio João Felipe Araújo, 87
Vila Nova Gameleira 1ª Seção
20278-829 Azevedo das Flores / BA"
38,03.864.147/0001-18,Sales Ribeiro S.A.,0500 393 5499,"Núcleo de Rezende, 589
Cenaculo
11207-867 Jesus da Serra / ES"
39,03.982.215/0001-43,Melo Novaes - EI,+55 51 1884 8890,"Quadra Ryan Sampaio, 82
Araguaia
12877377 Rezende / PB"
40,04.046.012/0001-08,da Rosa,21 1504 5065,"Lago Lara Martins
Camargos
05504-319 Vieira / RJ"
41,04.046.186/0001-70,Garcia - EI,0300-855-5432,"Lagoa Freitas, 40
Caetano Furquim
57289-128 Dias / PI"
42,04.162.736/0001-17,da Paz - EI,51 5969 7119,"Avenida de Siqueira, 9
Virgínia
13994503 Vargas do Norte / PE"
43,04.214.517/0001-34,Novais Ltda.,0800 801 0101,"Núcleo Luiz Miguel Ferreira, 13
Santa Rosa
59614676 Lima / ES"
44,04.239.509/0001-42,Oliveira,(031) 4907 5626,"Loteamento de Fernandes, 819
Vila Vista Alegre
49892720 da Rocha / PB"
45,04.245.520/0001-15,Alves,(031) 7729 4756,"Trecho de Moura, 64
Bairro Das Indústrias Ii
03136903 Rocha / PI"
46,04.269.508/0001-40,Siqueira S.A.,+55 71 2513 8364,"Colônia Benjamin Machado, 273
Ventosa
06768-266 Casa Grande da Serra / SP"
47,04.274.556/0001-27,Barros Melo S/A,84 9735-3194,"Chácara Rafael Casa Grande, 303
Biquinhas
65481-914 Azevedo / RR"
